       , inNose     , inNose     , inNose    
[4:14] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[4:15] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[4:16] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[4:17] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[4:18] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[4:19] , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose    
[4:20] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[4:21] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[4:22] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[4:23] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[4:24] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[4:25] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[4:26] , silence1   , silence1   , silence1  
[4:26] , ********** , ********** , **********
       , snapNow    , snapNow    , snapNow   
[4:27] , snapNow    , snapNow    , snapNow   
       , snapNow    , snapNow    , snapNow   
[4:28] , snapNow    , snapNow    , snapNow   
[4:28] , ********** , ********** , **********
