       , intro      , intro      , intro      , intro     
       , out        , in         , clapNow    , silence1  
[5: 6] , out        , in         , clapNow    , silence1  
       , out        , out        , clapNow    , clapNow   
[5: 7] , out        , out        , clapNow    , clapNow   
       , silence1   , out        , snapNow    , clapNow   
[5: 8] , silence1   , out        , snapNow    , clapNow   
       , clapNow    , out        , snapNow    , in        
[5: 9] , clapNow    , out        , snapNow    , in        
       , clapNow    , silence1   , silence1   , in        
[5:10] , clapNow    , silence1   , silence1   , in        
       , in         , in         , in         , in        
[5:11] , in         , in         , in         , in        
       , in         , in         , in         , snapNow   
[5:12] , in         , in         , in         , snapNow   
       , in         , in         , in         , snapNow   
[5:13] , in         , in         , in         , snapNow   
       , snapNow    , out        , clapNow    , snapNow   
[5:14] , snapNow    , out        , clapNow    , snapNow   
       , snapNow    , out        , clapNow    , snapNow   
[5:15] , snapNow    , out        , clapNow    , snapNow   
       , out        , out        , out        , out       
[5:16] , out        , out        , out        , out       
       , out        , snapNow    , out        , out       
[5:17] , out        , snapNow    , out        , out       
       , out        , snapNow    , out        , out       
[5:18] , out        , snapNow    , out        , out       
       , snapNow    , silence1   , silence1   , snapNow   
[5:19] , snapNow    , silence1   , silence1   , snapNow   
       , snapNow    , in         , snapNow    , snapNow   
[5:20] , snapNow    , in         , snapNow    , snapNow   
       , silence1   , in         , snapNow    , silence1  
[5:21] , silence1   , in         , snapNow    , silence1  
       , in         , in         , in         , in        
[5:22] , in         , in         , in         , in        
       , in         , clapNow    , in         , in        
[5:23] , in         , clapNow    , in         , in        
       , in         , clapNow    , in         , in        
[5:24] , in         , clapNow    , in         , in        
       , out        , out        , out        , out       
[5:25] , out        , out        , out        , out       
       , out        , out        , out        , out       
[5:26] , out        , out        , out        , out       
       , out        , out        , out        , out       
[5:27] , out        , out        , out        , out       
       , silence1   , silence1   , silence1   , silence1  
[5:28] , silence1   , silence1   , silence1   , silence1  
[5:28] , ********** , ********** , ********** , **********
       , inNose     , inNose     , inNose     , inNose    
[5:29] , inNose     , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose     , inNose    
[5:30] , inNose     , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose     , inNose    
[5:31] , inNose     , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth   , outMouth  
[5:32] , outMouth   , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth   , outMouth  
[5:33] , outMouth   , outMouth   , outMouth   , outMouth  
