       , intro      , intro      , intro     
[3:53] , silence1   , humHigh    , silence1  
       , silence1   , humHigh    , snapNow   
[3:54] , silence1   , humHigh    , snapNow   
       , silence1   , humHigh    , snapNow   
[3:55] , silence1   , humHigh    , snapNow   
       , in         , silence1   , in        
[3:56] , in         , silence1   , in        
       , in         , silence1   , in        
[3:57] , in         , silence1   , in        
       , in         , silence1   , in        
[3:58] , in         , silence1   , in        
       , out        , silence1   , out       
[3:59] , out        , silence1   , out       
       , out        , silence1   , out       
[4: 0] , out        , silence1   , out       
       , out        , inMouth    , out       
[4: 1] , out        , inMouth    , out       
       , silence1   , inMouth    , silence1  
[4: 2] , silence1   , inMouth    , silence1  
       , inMouth    , inMouth    , inMouth   
[4: 3] , inMouth    , inMouth    , inMouth   
       , inMouth    , hold1      , inMouth   
[4: 4] , inMouth    , hold1      , inMouth   
       , inMouth    , outNose    , inMouth   
[4: 5] , inMouth    , outNose    , inMouth   
       , hold1      , outNose    , hold1     
[4: 6] , hold1      , outNose    , hold1     
       , outNose    , outNose    , outNose   
[4: 7] , outNose    , outNose    , outNose   
       , outNose    , snapNow    , outNose   
[4: 8] , outNose    , snapNow    , outNose   
       , outNose    , snapNow    , outNose   
[4: 9] , outNose    , snapNow    , outNose   
[4: 9] , ********** , ********** , **********
       , snapNow    , snapNow    , snapNow   
[4:10] , snapNow    , snapNow    , snapNow   
       , snapNow    , snapNow    , snapNow   
[4:11] , snapNow    , snapNow    , snapNow   
[4:11] , ********** , ********** , **********
